"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","73","DELETE - Exclusao de Reserva","TC-API-05 EXCLUSÃO DE RESERVA","2026-05-17","passed","2026-05-17","","","",""
"","370","POST - Autenticacao Basica","TC-API-01 AUTENTICAÇÃO BÁSICA","2026-05-17","passed","2026-05-17","","","",""
"","103","POST - Criar Reserva","TC-API-02 CRIAÇÃO DE RESERVA","2026-05-17","passed","2026-05-17","","","",""
"","75","GET - Leitura e Validacao de Reserva","TC-API-03 LEITURA E VALIDAÇÃO DE RESERVA","2026-05-17","passed","2026-05-17","","","",""
"","76","PUT - Atualizacao de Reserva","TC-API-04 ATUALIZAÇÃO DE RESERVA","2026-05-17","passed","2026-05-17","","","",""
